,Unnamed: 0,NLC,Origin TLC,Station Name,Government Office Region (GOR),County or Unitary Authority,District or Unitary Authority,NUTS2 Spatial_Unit Code,NUTS2 Spatial Unit,Station Facility Owner,Station Group,PTE Urban Area Station,London Travelcard Area,Entries Full,Entries Reduced,Entries Season,Entries Total,Exits Full,Exits Reduced,Exits Season,Exits Total,1112 Entries & Exits,"1011
Entries & Exits",Interchanges,Large station Flag,Small Station Flag,Explanation of large change,Sources,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
336,336,2554.0,BRF,Brierfield,North West,Lancashire,Pendle,UKD4,Lancashire,Northern Rail,,,," 10,150 "," 1,989 "," 2,052 "," 14,191 "," 10,150 "," 1,989 "," 2,052 "," 14,191 "," 28,382 "," 25,226 ",  ,1.0,0.0,Continues high growth from previous year,,,,,
337,337,6464.0,BGG,Brigg,Yorkshire And The Humber,North Lincolnshire,North Lincolnshire,UKE1,East Riding and North Linconshire,Northern Rail,,,, 328 , 18 , -   , 346 , 328 , 18 , -   , 346 , 692 , 702 ,  ,0.0,0.0,,,,,,
338,338,8514.0,BGH,Brighouse,Yorkshire And The Humber,West Yorkshire,Calderdale,UKE4,West Yorkshire,Northern Rail,,West Yorkshire,," 41,433 "," 57,976 "," 34,101 "," 133,510 "," 41,433 "," 57,976 "," 34,101 "," 133,510 "," 267,020 "," 223,186 ",  ,1.0,0.0,Continues high growth from previous year (in addition extra services commenced during the year),http://en.wikipedia.org/wiki/Brighouse_railway_station,,,,
339,339,5268.0,BTN,Brighton,South East,Brighton And Hove,Brighton And Hove,UKJ2,"Surrey, East & West Sussex",Southern,BRIGHTON BR,,," 1,161,584 "," 4,469,247 "," 2,395,429 "," 8,026,260 "," 1,161,584 "," 4,469,247 "," 2,395,429 "," 8,026,260 "," 16,052,520 "," 14,493,010 "," 1,860,659 ",1.0,0.0,Cause of large increase not clear,,,,,
340,340,6810.0,BMD,Brimsdown,London,Greater London,Enfield,UKI2,Outer London,National Express East Anglia,,,London Travelcard Area Station," 52,847 "," 67,691 "," 133,670 "," 254,208 "," 52,847 "," 67,691 "," 133,670 "," 254,208 "," 508,416 "," 465,520 ",  ,0.0,0.0,,,,,,
341,341,2603.0,BNT,Brinnington,North West,Greater Manchester,Stockport,UKD3,Greater Manchester,Northern Rail,,Greater Manchester,," 7,101 "," 23,934 "," 8,606 "," 39,641 "," 7,101 "," 23,934 "," 8,606 "," 39,641 "," 79,282 "," 75,128 ",  ,0.0,0.0,,,,,,
342,342,3230.0,BPW,Bristol Parkway,South West,South Gloucestershire,South Gloucestershire,UKK1,"Gloucestershire, Wiltshire and North Somerset",First Great Western,BRISTOL BR,,," 308,347 "," 599,433 "," 223,220 "," 1,131,000 "," 308,347 "," 599,433 "," 223,220 "," 1,131,000 "," 2,262,000 "," 2,114,876 "," 741,422 ",0.0,0.0,,,,,,
343,343,3231.0,BRI,Bristol Temple Meads,South West,Bristol City Of,Bristol City Of,UKK1,"Gloucestershire, Wiltshire and North Somerset",First Great Western,BRISTOL BR,,," 1,127,278 "," 2,400,919 "," 914,116 "," 4,442,313 "," 1,127,278 "," 2,400,919 "," 914,116 "," 4,442,313 "," 8,884,626 "," 8,409,340 "," 1,327,179 ",0.0,0.0,,,,,,
344,344,4012.0,BHD,Brithdir,Wales - Cymru,Caerphilly - Caerffili,Caerphilly - Caerffili,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,," 4,379 ", 191 , 912 ," 5,482 "," 4,379 ", 191 , 912 ," 5,482 "," 10,964 "," 10,380 ",  ,0.0,0.0,,,,,,
346,346,4187.0,BNF,Briton Ferry,Wales - Cymru,Neath Port Talbot - Castell-Nedd Port Talbot,Neath Port Talbot - Castell-Nedd Port Talbot,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,," 10,137 "," 2,713 "," 3,396 "," 16,246 "," 10,137 "," 2,713 "," 3,396 "," 16,246 "," 32,492 "," 31,748 ",  ,0.0,0.0,,,,,,
347,347,5081.0,BRX,Brixton,London,Greater London,Lambeth,UKI1,Inner London,Southeastern,,,London Travelcard Area Station," 98,430 "," 104,348 "," 219,115 "," 421,893 "," 98,430 "," 104,348 "," 219,115 "," 421,893 "," 843,786 "," 785,610 ",  ,0.0,0.0,,,,,,
348,348,2240.0,BGE,Broad Green,North West,Merseyside,Liverpool,UKD5,Merseyside,Northern Rail,,Merseyside,," 70,831 "," 210,038 "," 49,860 "," 330,729 "," 70,831 "," 210,038 "," 49,860 "," 330,729 "," 661,458 "," 642,608 ",  ,0.0,0.0,,,,,,
349,349,2892.0,BDB,Broadbottom,North West,Greater Manchester,Tameside,UKD3,Greater Manchester,Northern Rail,,Greater Manchester,," 14,047 "," 33,459 "," 18,952 "," 66,458 "," 14,047 "," 33,459 "," 18,952 "," 66,458 "," 132,916 "," 126,480 ",  ,0.0,0.0,,,,,,
350,350,5006.0,BSR,Broadstairs,South East,Kent,Thanet,UKJ4,Kent,Southeastern,,,," 41,344 "," 150,465 "," 93,729 "," 285,538 "," 41,344 "," 150,465 "," 93,729 "," 285,538 "," 571,076 "," 553,912 ",  ,0.0,0.0,,,,,,
351,351,5886.0,BCU,Brockenhurst,South East,Hampshire,New Forest,UKJ3,Hampshire and Isle of Wight,South West Trains,,,," 97,002 "," 185,733 "," 315,234 "," 597,969 "," 97,002 "," 185,733 "," 315,234 "," 597,969 "," 1,195,938 "," 1,354,964 "," 245,115 ",1.0,0.0,Cause of large decrease not clear,,,,,
352,352,8429.0,BHS,Brockholes,Yorkshire And The Humber,West Yorkshire,Kirklees,UKE4,West Yorkshire,Northern Rail,,West Yorkshire,," 7,824 "," 10,413 "," 8,831 "," 27,068 "," 7,824 "," 10,413 "," 8,831 "," 27,068 "," 54,136 "," 54,018 ",  ,0.0,0.0,,,,,,
353,353,5404.0,BCY,Brockley,London,Greater London,Lewisham,UKI1,Inner London,London Overground,,,London Travelcard Area Station," 337,600 "," 540,304 "," 768,324 "," 1,646,228 "," 337,600 "," 540,304 "," 768,324 "," 1,646,228 "," 3,292,456 "," 2,727,378 ",  ,1.0,0.0,Continued growth from improved East London line service,,,,,
354,354,2190.0,BOM,Bromborough,North West,Merseyside,Wirral,UKD5,Merseyside,Merseyrail,,Merseyside,," 147,343 "," 212,110 "," 79,199 "," 438,652 "," 147,343 "," 212,110 "," 79,199 "," 438,652 "," 877,304 "," 880,082 ",  ,0.0,0.0,,,,,,
355,355,2191.0,BMR,Bromborough Rake,North West,Merseyside,Wirral,UKD5,Merseyside,Merseyrail,,Merseyside,," 73,298 "," 90,240 "," 40,243 "," 203,781 "," 73,298 "," 90,240 "," 40,243 "," 203,781 "," 407,562 "," 396,530 ",  ,0.0,0.0,,,,,,
357,357,5096.0,BMN,Bromley North,London,Greater London,Bromley,UKI2,Outer London,Southeastern,,,London Travelcard Area Station," 46,741 "," 38,968 "," 237,941 "," 323,650 "," 46,741 "," 38,968 "," 237,941 "," 323,650 "," 647,300 "," 624,124 ",  ,0.0,0.0,,,,,,
358,358,5064.0,BMS,Bromley South,London,Greater London,Bromley,UKI2,Outer London,Southeastern,,,London Travelcard Area Station," 645,301 "," 848,311 "," 1,439,942 "," 2,933,554 "," 645,301 "," 848,311 "," 1,439,942 "," 2,933,554 "," 5,867,108 "," 5,763,662 "," 706,866 ",0.0,0.0,,,,,,
359,359,4715.0,BMV,Bromsgrove,West Midlands,Worcestershire,Bromsgrove,UKG1,"Herefordshire, Worcestershire and Warwickshire",London Midland Trains,,West Midlands,," 86,502 "," 42,174 "," 132,842 "," 261,518 "," 86,502 "," 42,174 "," 132,842 "," 261,518 "," 523,036 "," 465,208 ",  ,1.0,0.0,"Partially due to improved demand estimation in Centro area (extra 13,000 entries and exits in Centro infill compared to what would have been estimated using previous methodology)",,,,,
360,360,1437.0,BSY,Brondesbury,London,Greater London,Brent,UKI2,Outer London,London Overground,,,London Travelcard Area Station," 158,397 "," 264,557 "," 468,303 "," 891,257 "," 158,397 "," 264,557 "," 468,303 "," 891,257 "," 1,782,514 "," 1,171,504 ",  ,1.0,0.0,Further improvements to Overground service including completition of link between North and East branches  in February 2011 driving continued large increases in demand,http://www.tfl.gov.uk/corporate/projectsandschemes/15397.aspx,,,,
361,361,1438.0,BSP,Brondesbury Park,London,Greater London,Brent,UKI2,Outer London,London Overground,,,London Travelcard Area Station," 95,600 "," 116,570 "," 344,471 "," 556,641 "," 95,600 "," 116,570 "," 344,471 "," 556,641 "," 1,113,282 "," 741,434 ",  ,1.0,0.0,Further improvements to Overground service including completition of link between North and East branches  in February 2011 driving continued large increases in demand,http://www.tfl.gov.uk/corporate/projectsandschemes/15397.aspx,,,,
363,363,5687.0,BKO,Brookwood,South East,Surrey,Woking,UKJ2,"Surrey, East & West Sussex",South West Trains,,,," 115,645 "," 92,634 "," 258,905 "," 467,184 "," 115,645 "," 92,634 "," 258,905 "," 467,184 "," 934,368 "," 912,268 "," 60,013 ",0.0,0.0,,,,,,
364,364,4175.0,BME,Broome,West Midlands,Shropshire,South Shropshire,UKG2,Shropshire and Staffordshire,Arriva Trains Wales,,,, 372 , 118 , 246 , 736 , 372 , 118 , 246 , 736 ," 1,472 "," 1,642 ",  ,0.0,0.0,,,,,,
365,365,8050.0,BMF,Broomfleet,Yorkshire And The Humber,East Riding Of Yorkshire,East Riding Of Yorkshire,UKE1,East Riding and North Linconshire,Northern Rail,,,, 435 , 108 , 238 , 781 , 435 , 108 , 238 , 781 ," 1,562 "," 2,106 ",  ,0.0,1.0,Very small absolute number of entries and exits,,,,,
366,366,8618.0,BRA,Brora,Scotland,Highland,Highland,UKM4,Highlands and Islands,First ScotRail,,,," 2,072 ", 510 , -   ," 2,582 "," 2,072 ", 510 , -   ," 2,582 "," 5,164 "," 5,780 ",  ,0.0,0.0,,,,,,
367,367,8051.0,BUH,Brough,Yorkshire And The Humber,East Riding Of Yorkshire,East Riding Of Yorkshire,UKE1,East Riding and North Linconshire,First TransPennine Express,,,," 41,798 "," 90,139 "," 39,296 "," 171,233 "," 41,798 "," 90,139 "," 39,296 "," 171,233 "," 342,466 "," 340,442 "," 2,775 ",0.0,0.0,,,,,,
368,368,9023.0,BYF,Broughty Ferry,Scotland,Dundee City,Dundee City,UKM2,Eastern Scotland,First ScotRail,,,," 2,261 "," 1,407 ", 976 ," 4,644 "," 2,261 "," 1,407 ", 976 ," 4,644 "," 9,288 "," 5,362 ",  ,0.0,1.0,Reflects improved train service introduced in December 2011,,,,,
369,369,6812.0,BXB,Broxbourne,East,Hertfordshire,Broxbourne,UKH2,Bedfordshire and Hertforshire,National Express East Anglia,,,," 173,783 "," 193,466 "," 348,472 "," 715,721 "," 173,783 "," 193,466 "," 348,472 "," 715,721 "," 1,431,442 "," 1,340,234 "," 266,489 ",0.0,0.0,,,,,,
370,370,6958.0,BCV,Bruce Grove,London,Greater London,Haringey,UKI1,Inner London,National Express East Anglia,,,London Travelcard Area Station," 34,097 "," 57,850 "," 130,106 "," 222,053 "," 34,097 "," 57,850 "," 130,106 "," 222,053 "," 444,106 "," 361,626 ",  ,1.0,0.0,Continues high growth from previous year,,,,,
371,371,7289.0,BDA,Brundall,East,Norfolk,Broadland,UKH1,East Anglia,National Express East Anglia,,,," 17,293 "," 19,804 "," 7,396 "," 44,493 "," 17,293 "," 19,804 "," 7,396 "," 44,493 "," 88,986 "," 90,594 ", 590 ,0.0,0.0,,,,,,
372,372,7006.0,BGA,Brundall Gardens,East,Norfolk,Broadland,UKH1,East Anglia,National Express East Anglia,,,," 2,398 "," 2,350 ", 734 ," 5,482 "," 2,398 "," 2,350 ", 734 ," 5,482 "," 10,964 "," 11,010 ",  ,0.0,0.0,,,,,,
373,373,8807.0,BSU,Brunstane,Scotland,Edinburgh City Of,Edinburgh City Of,UKM2,Eastern Scotland,First ScotRail,,,," 31,852 "," 16,872 "," 17,679 "," 66,403 "," 31,852 "," 16,872 "," 17,679 "," 66,403 "," 132,806 "," 128,932 ",  ,0.0,0.0,,,,,,
374,374,3623.0,BRW,Brunswick,North West,Merseyside,Liverpool,UKD5,Merseyside,Merseyrail,,Merseyside,," 178,782 "," 192,324 "," 132,831 "," 503,937 "," 178,782 "," 192,324 "," 132,831 "," 503,937 "," 1,007,874 "," 963,252 ",  ,0.0,0.0,,,,,,
375,375,5702.0,BRU,Bruton,South West,Somerset,South Somerset,UKK2,Dorset and Somerset,First Great Western,,,," 4,015 "," 8,535 "," 1,132 "," 13,682 "," 4,015 "," 8,535 "," 1,132 "," 13,682 "," 27,364 "," 25,544 ",  ,0.0,0.0,,,,,,
376,376,2222.0,BYN,Bryn,North West,Greater Manchester,Wigan,UKD3,Greater Manchester,Northern Rail,,Greater Manchester,," 24,073 "," 50,125 "," 14,385 "," 88,583 "," 24,073 "," 50,125 "," 14,385 "," 88,583 "," 177,166 "," 150,960 ",  ,1.0,0.0,Continues high growth from previous year,,,,,
377,377,7290.0,BUC,Buckenham,East,Norfolk,Broadland,UKH1,East Anglia,National Express East Anglia,,,, 18 , 32 , -   , 50 , 18 , 32 , -   , 50 , 100 , 106 ,  ,0.0,0.0,,,,,,
378,378,2422.0,BCK,Buckley,Wales - Cymru,Flintshire - Sir Y Fflint,Flintshire - Sir Y Fflint,UKL2,East Wales,Arriva Trains Wales,,,," 22,658 "," 2,127 "," 1,417 "," 26,202 "," 22,658 "," 2,127 "," 1,417 "," 26,202 "," 52,404 "," 51,472 ",  ,0.0,0.0,,,,,,
379,379,4182.0,BUK,Bucknell,West Midlands,Shropshire,South Shropshire,UKG2,Shropshire and Staffordshire,Arriva Trains Wales,,,," 1,411 ", 577 , 255 ," 2,243 "," 1,411 ", 577 , 255 ," 2,243 "," 4,486 "," 4,228 ",  ,0.0,0.0,,,,,,
381,381,3502.0,BGL,Bugle,South West,Cornwall And Isles Of Scilly,Restormel,UKK3,Cornwall and Isles of Scilly,First Great Western,,,, 91 ," 2,561 ", 299 ," 2,951 ", 91 ," 2,561 ", 299 ," 2,951 "," 5,902 "," 3,650 ",  ,0.0,1.0,Cause of demand increase not clear,,,,,
382,382,4317.0,BHR,Builth Road,Wales - Cymru,Powys - Powys,Powys - Powys,UKL2,East Wales,Arriva Trains Wales,,,," 3,226 "," 1,288 ", -   ," 4,514 "," 3,226 "," 1,288 ", -   ," 4,514 "," 9,028 "," 9,124 ",  ,0.0,0.0,,,,,,
383,383,1865.0,BLW,Bulwell,East Midlands,Nottingham,Nottingham,UKF1,Derbyshire and Nottinghamshire,East Midlands Trains,,,," 12,420 "," 5,820 "," 8,178 "," 26,418 "," 12,420 "," 5,820 "," 8,178 "," 26,418 "," 52,836 "," 48,162 ",  ,0.0,0.0,,,,,,
384,384,7085.0,BUE,Bures,East,Essex,Braintree,UKH3,Essex,National Express East Anglia,,,," 5,521 "," 7,686 "," 13,764 "," 26,971 "," 5,521 "," 7,686 "," 13,764 "," 26,971 "," 53,942 "," 51,370 ",  ,0.0,0.0,,,,,,
385,385,5483.0,BUG,Burgess Hill,South East,West Sussex,Mid Sussex,UKJ2,"Surrey, East & West Sussex",Southern,,,," 124,759 "," 295,132 "," 440,819 "," 860,710 "," 124,759 "," 295,132 "," 440,819 "," 860,710 "," 1,721,420 "," 1,645,870 ",  ,0.0,0.0,,,,,,
386,386,8500.0,BUY,Burley Park,Yorkshire And The Humber,West Yorkshire,Leeds,UKE4,West Yorkshire,Northern Rail,,West Yorkshire,," 113,318 "," 98,404 "," 114,766 "," 326,488 "," 113,318 "," 98,404 "," 114,766 "," 326,488 "," 652,976 "," 632,112 ",  ,0.0,0.0,,,,,,
387,387,8565.0,BUW,Burley-In-Wharfedale,Yorkshire And The Humber,West Yorkshire,Bradford,UKE4,West Yorkshire,Northern Rail,,West Yorkshire,," 65,921 "," 80,574 "," 76,227 "," 222,722 "," 65,921 "," 80,574 "," 76,227 "," 222,722 "," 445,444 "," 441,078 ",  ,0.0,0.0,,,,,,
388,388,2945.0,BNA,Burnage,North West,Greater Manchester,Manchester,UKD3,Greater Manchester,Northern Rail,,Greater Manchester,," 24,915 "," 55,106 "," 28,079 "," 108,100 "," 24,915 "," 55,106 "," 28,079 "," 108,100 "," 216,200 "," 187,184 ",  ,1.0,0.0,Continues high growth from previous year,,,,,
391,391,6873.0,BUU,Burnham-On-Crouch,East,Essex,Maldon,UKH3,Essex,National Express East Anglia,,,," 22,073 "," 29,300 "," 75,553 "," 126,926 "," 22,073 "," 29,300 "," 75,553 "," 126,926 "," 253,852 "," 261,164 ",  ,0.0,0.0,,,,,,
392,392,2743.0,BUB,Burnley Barracks,North West,Lancashire,Burnley,UKD4,Lancashire,Northern Rail,BURNLEY BR,,," 6,343 "," 1,312 ", 938 ," 8,593 "," 6,343 "," 1,312 ", 938 ," 8,593 "," 17,186 "," 13,980 ",  ,1.0,0.0,Cause of large increase not clear,,,,,
393,393,2550.0,BNC,Burnley Central,North West,Lancashire,Burnley,UKD4,Lancashire,Northern Rail,BURNLEY BR,,," 53,412 "," 13,100 "," 8,682 "," 75,194 "," 53,412 "," 13,100 "," 8,682 "," 75,194 "," 150,388 "," 145,892 ", 36 ,0.0,0.0,,,,,,
394,394,2549.0,BYM,Burnley Manchester Road,North West,Lancashire,Burnley,UKD4,Lancashire,Northern Rail,BURNLEY BR,,," 73,053 "," 26,659 "," 16,490 "," 116,202 "," 73,053 "," 26,659 "," 16,490 "," 116,202 "," 232,404 "," 216,244 ", 41 ,0.0,0.0,,,,,,
396,396,9107.0,BTS,Burntisland,Scotland,Fife,Fife,UKM2,Eastern Scotland,First ScotRail,,,," 23,183 "," 45,980 "," 31,618 "," 100,781 "," 23,183 "," 45,980 "," 31,618 "," 100,781 "," 201,562 "," 191,946 ",  ,0.0,0.0,,,,,,
397,397,2279.0,BCB,Burscough Bridge,North West,Lancashire,West Lancashire,UKD4,Lancashire,Northern Rail,,,," 28,086 "," 59,250 "," 22,267 "," 109,603 "," 28,086 "," 59,250 "," 22,267 "," 109,603 "," 219,206 "," 222,382 ",  ,0.0,0.0,,,,,,
398,398,2280.0,BCJ,Burscough Junction,North West,Lancashire,West Lancashire,UKD4,Lancashire,Northern Rail,,,," 6,980 "," 9,980 "," 1,730 "," 18,690 "," 6,980 "," 9,980 "," 1,730 "," 18,690 "," 37,380 "," 36,570 ",  ,0.0,0.0,,,,,,
399,399,5927.0,BUO,Bursledon,South East,Hampshire,Eastleigh,UKJ3,Hampshire and Isle of Wight,South West Trains,,,," 11,085 "," 10,353 "," 8,209 "," 29,647 "," 11,085 "," 10,353 "," 8,209 "," 29,647 "," 59,294 "," 60,264 ",  ,0.0,0.0,,,,,,
400,400,6200.0,BUJ,Burton Joyce,East Midlands,Nottinghamshire,Gedling,UKF1,Derbyshire and Nottinghamshire,East Midlands Trains,,,," 1,918 ", 980 , 495 ," 3,393 "," 1,918 ", 980 , 495 ," 3,393 "," 6,786 "," 7,400 ",  ,0.0,0.0,,,,,,
401,401,1658.0,BUT,Burton-On-Trent,West Midlands,Staffordshire,East Staffordshire,UKG2,Shropshire and Staffordshire,East Midlands Trains,,,," 103,724 "," 178,640 "," 69,372 "," 351,736 "," 103,724 "," 178,640 "," 69,372 "," 351,736 "," 703,472 "," 718,996 "," 6,369 ",0.0,0.0,,,,,,
403,403,9791.0,BUS,Busby,Scotland,East Renfrewshire,East Renfrewshire,UKM3,South Western Scotland,First ScotRail,,Strathclyde,," 27,115 "," 21,065 "," 24,956 "," 73,136 "," 27,115 "," 21,065 "," 24,956 "," 73,136 "," 146,272 "," 143,730 ",  ,0.0,0.0,,,,,,
404,404,6913.0,BHK,Bush Hill Park,London,Greater London,Enfield,UKI2,Outer London,National Express East Anglia,,,London Travelcard Area Station," 73,312 "," 92,556 "," 164,732 "," 330,600 "," 73,312 "," 92,556 "," 164,732 "," 330,600 "," 661,200 "," 610,532 ",  ,0.0,0.0,,,,,,
405,405,1395.0,BSH,Bushey,East,Hertfordshire,Watford,UKH2,Bedfordshire and Hertforshire,London Overground,,,," 174,861 "," 193,010 "," 114,434 "," 482,305 "," 174,861 "," 193,010 "," 114,434 "," 482,305 "," 964,610 "," 881,958 ",  ,0.0,0.0,,,,,,
406,406,1179.0,BUL,Butlers Lane,West Midlands,West Midlands,Birmingham,UKG3,West Midlands,London Midland Trains,,West Midlands,," 22,118 "," 34,122 "," 38,219 "," 94,459 "," 22,118 "," 34,122 "," 38,219 "," 94,459 "," 188,918 "," 186,394 ",  ,0.0,0.0,,,,,,
408,408,5324.0,BXD,Buxted,South East,East Sussex,Wealden,UKJ2,"Surrey, East & West Sussex",Southern,,,," 16,746 "," 21,927 "," 45,377 "," 84,050 "," 16,746 "," 21,927 "," 45,377 "," 84,050 "," 168,100 "," 163,280 ",  ,0.0,0.0,,,,,,
409,409,2946.0,BUX,Buxton,East Midlands,Derbyshire,High Peak,UKF1,Derbyshire and Nottinghamshire,Northern Rail,,,," 28,983 "," 102,681 "," 17,500 "," 149,164 "," 28,983 "," 102,681 "," 17,500 "," 149,164 "," 298,328 "," 308,856 ",  ,0.0,0.0,,,,,,
411,411,4124.0,BYE,Bynea,Wales - Cymru,Carmarthenshire - Sir Gaerfyrddin,Carmarthenshire - Sir Gaerfyrddin,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,, 470 , 245 , -   , 715 , 470 , 245 , -   , 715 ," 1,430 "," 1,376 ",  ,0.0,0.0,,,,,,
412,412,3811.0,CAD,Cadoxton,Wales - Cymru,The Vale Of Glamorgan - Bro Morgannwg,The Vale Of Glamorgan - Bro Morgannwg,UKL2,East Wales,Arriva Trains Wales,,,," 87,353 "," 3,406 "," 36,264 "," 127,023 "," 87,353 "," 3,406 "," 36,264 "," 127,023 "," 254,046 "," 249,714 ",  ,0.0,0.0,,,,,,
413,413,2536.0,CGW,Caergwrle,Wales - Cymru,Flintshire - Sir Y Fflint,Flintshire - Sir Y Fflint,UKL2,East Wales,Arriva Trains Wales,,,," 9,329 ", 927 , 687 ," 10,943 "," 9,329 ", 927 , 687 ," 10,943 "," 21,886 "," 22,186 ",  ,0.0,0.0,,,,,,
414,414,3812.0,CPH,Caerphilly,Wales - Cymru,Caerphilly - Caerffili,Caerphilly - Caerffili,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,," 200,825 "," 29,940 "," 108,425 "," 339,190 "," 200,825 "," 29,940 "," 108,425 "," 339,190 "," 678,380 "," 665,328 ",  ,0.0,0.0,,,,,,
415,415,4412.0,CWS,Caersws,Wales - Cymru,Powys - Powys,Powys - Powys,UKL2,East Wales,Arriva Trains Wales,,,," 13,089 "," 9,347 ", -   ," 22,436 "," 13,089 "," 9,347 ", -   ," 22,436 "," 44,872 "," 42,272 ",  ,0.0,0.0,,,,,,
417,417,3680.0,CDT,Caldicot,Wales - Cymru,Monmouthshire - Sir Fynwy,Monmouthshire - Sir Fynwy,UKL2,East Wales,Arriva Trains Wales,,,," 22,986 "," 11,909 "," 7,818 "," 42,713 "," 22,986 "," 11,909 "," 7,818 "," 42,713 "," 85,426 "," 83,292 ",  ,0.0,0.0,,,,,,
419,419,3562.0,CSK,Calstock,South West,Cornwall And Isles Of Scilly,Caradon,UKK3,Cornwall and Isles of Scilly,First Great Western,,,, 759 ," 13,778 "," 1,688 "," 16,225 ", 759 ," 13,778 "," 1,688 "," 16,225 "," 32,450 "," 33,198 ",  ,0.0,0.0,,,,,,
421,421,5682.0,CAM,Camberley,South East,Surrey,Surrey Heath,UKJ2,"Surrey, East & West Sussex",South West Trains,,,," 85,477 "," 94,940 "," 50,371 "," 230,788 "," 85,477 "," 94,940 "," 50,371 "," 230,788 "," 461,576 "," 444,080 ",  ,0.0,0.0,,,,,,
422,422,3504.0,CBN,Camborne,South West,Cornwall And Isles Of Scilly,Kerrier,UKK3,Cornwall and Isles of Scilly,First Great Western,,,," 14,496 "," 94,245 "," 28,979 "," 137,720 "," 14,496 "," 94,245 "," 28,979 "," 137,720 "," 275,440 "," 247,360 ",  ,1.0,0.0,Continues high growth from previous year,,,,,
423,423,7022.0,CBG,Cambridge,East,Cambridgeshire,Cambridge,UKH1,East Anglia,National Express East Anglia,,,," 1,055,750 "," 2,097,604 "," 1,258,264 "," 4,411,618 "," 1,055,750 "," 2,097,604 "," 1,258,264 "," 4,411,618 "," 8,823,236 "," 8,245,416 "," 732,469 ",0.0,0.0,,,,,,
424,424,6962.0,CBH,Cambridge Heath,London,Greater London,Tower Hamlets,UKI1,Inner London,National Express East Anglia,,,London Travelcard Area Station," 33,929 "," 41,451 "," 58,039 "," 133,419 "," 33,929 "," 41,451 "," 58,039 "," 133,419 "," 266,838 "," 223,850 ",  ,1.0,0.0,Cause of large increase not clear,,,,,
425,425,9768.0,CBL,Cambuslang,Scotland,South Lanarkshire,South Lanarkshire,UKM3,South Western Scotland,First ScotRail,,Strathclyde,," 124,962 "," 108,560 "," 145,264 "," 378,786 "," 124,962 "," 108,560 "," 145,264 "," 378,786 "," 757,572 "," 689,836 "," 7,703 ",0.0,0.0,,,,,,
426,426,1440.0,CMD,Camden Road,London,Greater London,Camden,UKI1,Inner London,London Overground,,,London Travelcard Area Station," 331,224 "," 472,352 "," 739,134 "," 1,542,710 "," 331,224 "," 472,352 "," 739,134 "," 1,542,710 "," 3,085,420 "," 1,833,296 "," 24,126 ",1.0,0.0,London Overground demand ramp-up,,,,,
427,427,9878.0,CMO,Camelon,Scotland,Falkirk,Falkirk,UKM2,Eastern Scotland,First ScotRail,,,," 17,969 "," 18,992 "," 15,262 "," 52,223 "," 17,969 "," 18,992 "," 15,262 "," 52,223 "," 104,446 "," 98,606 ",  ,0.0,0.0,,,,,,
429,429,1129.0,CNL,Canley,West Midlands,West Midlands,Coventry,UKG3,West Midlands,London Midland Trains,,West Midlands,," 22,620 "," 43,206 "," 44,894 "," 110,720 "," 22,620 "," 43,206 "," 44,894 "," 110,720 "," 221,440 "," 195,664 ",  ,1.0,0.0,"Main portion of increase due to improved demand estimation in Centro area (extra 7,000 entries and exits in Centro infill compared to what would have been estimated using previous methodology)",,,,,
430,430,1016.0,CAO,Cannock,West Midlands,Staffordshire,Cannock Chase,UKG2,Shropshire and Staffordshire,London Midland Trains,,West Midlands,," 39,280 "," 71,305 "," 16,360 "," 126,945 "," 39,280 "," 71,305 "," 16,360 "," 126,945 "," 253,890 "," 224,584 ",  ,1.0,0.0,"Main portion of increase due to improved demand estimation in Centro area (extra 12,000 entries and exits in Centro infill compared to what would have been estimated using previous methodology)",,,,,
432,432,1441.0,CNN,Canonbury,London,Greater London,Islington,UKI1,Inner London,London Overground,,,London Travelcard Area Station," 194,970 "," 308,040 "," 389,311 "," 892,321 "," 194,970 "," 308,040 "," 389,311 "," 892,321 "," 1,784,642 "," 772,976 "," 72,867 ",1.0,0.0,Improved North London Line and East London Line services causing large passenger increase,,,,,
433,433,5164.0,CBE,Canterbury East,South East,Kent,Canterbury,UKJ4,Kent,Southeastern,CANTERBURY BR,,," 126,189 "," 270,318 "," 191,038 "," 587,545 "," 126,189 "," 270,318 "," 191,038 "," 587,545 "," 1,175,090 "," 1,158,433 "," 22,550 ",0.0,0.0,,,,,,
434,434,5007.0,CBW,Canterbury West,South East,Kent,Canterbury,UKJ4,Kent,Southeastern,CANTERBURY BR,,," 188,878 "," 571,104 "," 306,033 "," 1,066,015 "," 188,878 "," 571,104 "," 306,033 "," 1,066,015 "," 2,132,030 "," 1,921,370 "," 102,762 ",1.0,0.0,Strong growth as take-up of high speed domestic services continues,,,,,
435,435,7292.0,CNY,Cantley,East,Norfolk,Broadland,UKH1,East Anglia,National Express East Anglia,,,," 3,465 "," 3,397 "," 1,225 "," 8,087 "," 3,465 "," 3,397 "," 1,225 "," 8,087 "," 16,174 "," 16,668 ",  ,0.0,0.0,,,,,,
